detector,descriptor,img_id,pts,pts_on_car,matches,detection_time,description_time,total_time,match_dist
SHITOMASI,FREAK,0005,1284,113,120,11.5999,0.262144,11.862,63.95
SHITOMASI,FREAK,0006,1322,114,113,11.7309,0.32768,12.0586,62.4425
SHITOMASI,FREAK,0007,1366,123,114,11.9931,0.393216,12.3863,59.2807
SHITOMASI,FREAK,0008,1389,111,123,12.0586,0.393216,12.4518,61.626
SHITOMASI,FREAK,0009,1339,112,111,11.7309,0.32768,12.0586,56.8198
SHITOMASI,SIFT,0001,1301,118,125,11.3377,0.32768,11.6654,126.502
SHITOMASI,SIFT,0002,1361,123,118,11.7309,0.32768,12.0586,106.897
SHITOMASI,SIFT,0003,1358,120,123,17.236,0.458752,17.6947,130.489
SHITOMASI,SIFT,0004,1333,120,120,11.5999,0.393216,11.9931,111.436
SHITOMASI,SIFT,0005,1284,113,120,11.6654,0.393216,12.0586,122.426
SHITOMASI,SIFT,0006,1322,114,113,12.3863,0.32768,12.714,113.427
SHITOMASI,SIFT,0007,1366,123,114,11.6654,0.32768,11.9931,111.424
SHITOMASI,SIFT,0008,1389,111,123,11.6654,0.32768,11.9931,120.763
SHITOMASI,SIFT,0009,1339,112,111,11.7965,0.32768,12.1242,110.039
HARRIS,BRISK,0001,98,14,17,12.714,0.131072,12.8451,92.4118
HARRIS,BRISK,0002,113,18,14,12.2552,0.065536,12.3208,84.7143
HARRIS,BRISK,0003,121,21,18,12.3863,0.131072,12.5174,88.0556
HARRIS,BRISK,0004,160,26,21,12.9106,0.131072,13.0417,91.2381
HARRIS,BRISK,0005,383,43,26,26.8042,0.196608,27.0008,80.5385
HARRIS,BRISK,0006,85,18,43,11.7965,0.065536,11.862,117.233
HARRIS,BRISK,0007,210,31,18,14.6145,0.065536,14.6801,67.2778
HARRIS,BRISK,0008,171,26,31,13.1072,0.131072,13.2383,78.129
HARRIS,BRISK,0009,281,34,26,18.5467,0.131072,18.6778,71.5
HARRIS,BRIEF,0001,98,14,17,11.5343,0.065536,11.5999,24.4118
HARRIS,BRIEF,0002,113,18,14,12.2552,0.065536,12.3208,17.9286
HARRIS,BRIEF,0003,121,21,18,12.1242,0.065536,12.1897,21.4444
HARRIS,BRIEF,0004,160,26,21,12.714,0.065536,12.7795,21.7619
HARRIS,BRIEF,0005,383,43,26,28.1805,0.131072,28.3116,18.9231
HARRIS,BRIEF,0006,85,18,43,11.5343,0.065536,11.5999,44.3488
HARRIS,BRIEF,0007,210,31,18,15.0733,0.131072,15.2044,17.3889
HARRIS,BRIEF,0008,171,26,31,12.9106,0.131072,13.0417,25.7097
HARRIS,BRIEF,0009,281,34,26,17.9569,0.131072,18.0879,17.9615
HARRIS,ORB,0001,98,14,17,11.7965,0.065536,11.862,31.5294
HARRIS,ORB,0002,113,18,14,11.7965,0.065536,11.862,22.5714
HARRIS,ORB,0003,121,21,18,12.5174,0.065536,12.5829,25.7778
HARRIS,ORB,0004,160,26,21,12.9106,0.065536,12.9761,25.3333
HARRIS,ORB,0005,383,43,26,26.7387,0.131072,26.8698,23.3077
HARRIS,ORB,0006,85,18,43,11.4033,0.131072,11.5343,50.7674
HARRIS,ORB,0007,210,31,18,14.0902,0.065536,14.1558,21.0556
HARRIS,ORB,0008,171,26,31,13.0417,0.065536,13.1072,28.1935
HARRIS,ORB,0009,281,34,26,18.4156,0.065536,18.4812,22.8077
HARRIS,FREAK,0001,98,14,17,12.1242,0.065536,12.1897,70.9412
HARRIS,FREAK,0002,113,18,14,12.5174,0.065536,12.5829,62.9286
HARRIS,FREAK,0003,121,21,18,12.5829,0.065536,12.6484,72.6111
HARRIS,FREAK,0004,160,26,21,12.714,0.065536,12.7795,68.2857
HARRIS,FREAK,0005,383,43,26,26.6732,0.065536,26.7387,69.8846
HARRIS,FREAK,0006,85,18,43,11.7965,0.131072,11.9276,99.3721
HARRIS,FREAK,0007,210,31,18,14.0902,0.065536,14.1558,69.2222
HARRIS,FREAK,0008,171,26,31,13.0417,0.131072,13.1727,68.6452
HARRIS,FREAK,0009,281,34,26,17.8913,0.131072,18.0224,64.1154
HARRIS,SIFT,0001,98,14,17,11.4688,0.065536,11.5343,143.417
HARRIS,SIFT,0002,113,18,14,12.1897,0,12.1897,102.229
HARRIS,SIFT,0003,121,21,18,16.7117,0.065536,16.7772,106.811
HARRIS,SIFT,0004,160,26,21,12.6484,0.065536,12.714,106.971
HARRIS,SIFT,0005,383,43,26,27.263,0.065536,27.3285,86.7503
HARRIS,SIFT,0006,85,18,43,11.4033,0.131072,11.5343,241.706
HARRIS,SIFT,0007,210,31,18,14.2213,0.065536,14.2868,113.952
HARRIS,SIFT,0008,171,26,31,17.8258,0.065536,17.8913,139.817
HARRIS,SIFT,0009,281,34,26,19.071,0.065536,19.1365,98.2584
FAST,BRISK,0001,4952,427,419,2.09715,2.22822,4.32538,77.1647
FAST,BRISK,0002,4863,404,427,2.09715,2.09715,4.1943,78.6956
FAST,BRISK,0003,4840,423,404,2.09715,2.16269,4.25984,77.9332
FAST,BRISK,0004,4856,386,423,2.09715,2.09715,4.1943,82.8794
FAST,BRISK,0005,4899,414,386,2.16269,1.96608,4.12877,78.7591
FAST,BRISK,0006,4870,418,414,2.03162,2.16269,4.1943,75.2729
FAST,BRISK,0007,4868,406,418,2.16269,2.16269,4.32538,77
FAST,BRISK,0008,4996,396,406,2.29376,2.09715,4.39091,75.2611
FAST,BRISK,0009,4997,401,396,2.16269,1.96608,4.12877,74.4141
FAST,BRIEF,0001,4952,427,419,2.09715,2.09715,4.1943,16.2912
FAST,BRIEF,0002,4863,404,427,2.09715,2.03162,4.12877,17.2646
FAST,BRIEF,0003,4840,423,404,2.09715,1.96608,4.06323,17.146
FAST,BRIEF,0004,4856,386,423,2.03162,1.83501,3.86662,17.5461
FAST,BRIEF,0005,4899,414,386,2.03162,1.76947,3.80109,17.1917
FAST,BRIEF,0006,4870,418,414,2.22822,2.03162,4.25984,16.1087
FAST,BRIEF,0007,4868,406,418,2.16269,1.96608,4.12877,16.3158
FAST,BRIEF,0008,4996,396,406,2.16269,2.22822,4.39091,16.1355
FAST,BRIEF,0009,4997,401,396,2.16269,1.83501,3.9977,16.101
FAST,ORB,0001,4952,427,419,1.96608,2.16269,4.12877,23.3699
FAST,ORB,0002,4863,404,427,2.09715,1.96608,4.06323,23.5316
FAST,ORB,0003,4840,423,404,1.96608,2.09715,4.06323,23.7574
FAST,ORB,0004,4856,386,423,2.03162,2.03162,4.06323,23.6761
FAST,ORB,0005,4899,414,386,2.03162,1.96608,3.9977,22.9301
FAST,ORB,0006,4870,418,414,2.16269,2.03162,4.1943,22.2077
FAST,ORB,0007,4868,406,418,2.09715,1.96608,4.06323,22.4641
FAST,ORB,0008,4996,396,406,2.03162,1.83501,3.86662,23.133
FAST,ORB,0009,4997,401,396,2.03162,1.96608,3.9977,22.0631
FAST,FREAK,0001,4952,427,419,2.09715,2.16269,4.25984,61.9451
FAST,FREAK,0002,4863,404,427,2.03162,2.22822,4.25984,61.9133
FAST,FREAK,0003,4840,423,404,2.16269,2.16269,4.32538,60.448
